future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
CU2312,DCE,ͭ2312,141059,12/9/2023,68840,68920,68610,0,68960,68670,68690,68670,17,10,9517,64634,68751.886
CU2312,DCE,ͭ2312,141157,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,1,10,9522,64636,68751.855
CU2312,DCE,ͭ2312,141248,12/9/2023,68840,68920,68610,0,68960,68680,68700,68690,18,21,9523,64635,68751.848
CU2312,DCE,ͭ2312,141356,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,5,17,9534,64642,68751.781
CU2312,DCE,ͭ2312,141459,12/9/2023,68840,68920,68610,0,68960,68690,68700,68690,14,23,9547,64646,68751.707
CU2312,DCE,ͭ2312,141559,12/9/2023,68840,68920,68610,0,68960,68690,68700,68690,8,8,9584,64660,68751.47
CU2312,DCE,ͭ2312,141657,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,21,52,9599,64659,68751.389
CU2312,DCE,ͭ2312,141754,12/9/2023,68840,68920,68610,0,68960,68690,68700,68690,4,58,9613,64656,68751.299
CU2312,DCE,ͭ2312,141856,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,9,55,9619,64654,68751.263
CU2312,DCE,ͭ2312,141958,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,17,52,9621,64654,68751.252
CU2312,DCE,ͭ2312,142056,12/9/2023,68840,68920,68610,0,68960,68700,68720,68720,23,14,9678,64681,68750.957
CU2312,DCE,ͭ2312,142159,12/9/2023,68840,68920,68610,0,68960,68710,68720,68720,15,9,9681,64683,68750.947
CU2312,DCE,ͭ2312,142257,12/9/2023,68840,68920,68610,0,68960,68700,68720,68710,15,15,9682,64682,68750.943
CU2312,DCE,ͭ2312,142358,12/9/2023,68840,68920,68610,0,68960,68680,68690,68680,13,8,9721,64660,68750.668
CU2312,DCE,ͭ2312,142458,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,2,30,9758,64667,68750.423
CU2312,DCE,ͭ2312,142556,12/9/2023,68840,68920,68610,0,68960,68680,68690,68680,4,13,9767,64671,68750.36
CU2312,DCE,ͭ2312,142659,12/9/2023,68840,68920,68610,0,68960,68660,68680,68680,15,15,9775,64668,68750.3
CU2312,DCE,ͭ2312,142758,12/9/2023,68840,68920,68610,0,68960,68670,68690,68680,11,22,9782,64668,68750.246
CU2312,DCE,ͭ2312,142858,12/9/2023,68840,68920,68610,0,68960,68660,68670,68660,16,9,9794,64668,68750.147
CU2312,DCE,ͭ2312,142958,12/9/2023,68840,68920,68610,0,68960,68660,68680,68670,22,26,9800,64669,68750.097
CU2312,DCE,ͭ2312,143058,12/9/2023,68840,68920,68610,0,68960,68650,68660,68660,13,4,9837,64685,68749.733
CU2312,DCE,ͭ2312,143158,12/9/2023,68840,68920,68610,0,68960,68660,68670,68670,24,12,9882,64691,68749.329
CU2312,DCE,ͭ2312,143258,12/9/2023,68840,68920,68610,0,68960,68650,68660,68650,5,9,9920,64683,68748.964
CU2312,DCE,ͭ2312,143358,12/9/2023,68840,68920,68610,0,68960,68660,68670,68660,19,6,9931,64693,68748.865
CU2312,DCE,ͭ2312,143459,12/9/2023,68840,68920,68610,0,68960,68670,68680,68650,1,28,9952,64695,68748.676
CU2312,DCE,ͭ2312,143559,12/9/2023,68840,68920,68610,0,68960,68680,68690,68670,2,7,9965,64691,68748.59
CU2312,DCE,ͭ2312,143659,12/9/2023,68840,68920,68610,0,68960,68680,68700,68680,14,11,9966,64692,68748.583
CU2312,DCE,ͭ2312,143758,12/9/2023,68840,68920,68610,0,68960,68680,68690,68680,5,18,9966,64692,68748.583
CU2312,DCE,ͭ2312,143858,12/9/2023,68840,68920,68610,0,68960,68680,68700,68690,14,19,10001,64722,68748.375
CU2312,DCE,ͭ2312,143959,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,37,5,10020,64731,68748.279
CU2312,DCE,ͭ2312,144058,12/9/2023,68840,68920,68610,0,68960,68700,68720,68710,27,22,10033,64727,68748.216
CU2312,DCE,ͭ2312,144158,12/9/2023,68840,68920,68610,0,68960,68710,68730,68710,39,33,10051,64728,68748.153
CU2312,DCE,ͭ2312,144258,12/9/2023,68840,68920,68610,0,68960,68710,68720,68710,6,20,10080,64733,68748.047
CU2312,DCE,ͭ2312,144358,12/9/2023,68840,68920,68610,0,68960,68690,68700,68700,15,1,10174,64692,68747.638
CU2312,DCE,ͭ2312,144458,12/9/2023,68840,68920,68610,0,68960,68700,68720,68710,24,8,10201,64689,68747.552
