date,future_code,close,open,high,low,deal,categoryID
24/7/2023,CU2312,1434,1469,1471.5,1432,1082,23/10/2023
21/7/2023,CU2312,1464,1485,1486,1443,1443,23/10/2023
20/7/2023,CU2312,1486.5,1464,1486.5,1455.5,1923,23/10/2023
19/7/2023,CU2312,1445.5,1463.5,1463.5,1430,1637,23/10/2023
18/7/2023,CU2312,1449,1398.5,1454,1379,1596,23/10/2023
17/7/2023,CU2312,1380.5,1431.5,1433,1371.5,1288,23/10/2023
14/7/2023,CU2312,1417,1394.5,1426,1392.5,1284,23/10/2023
13/7/2023,CU2312,1396,1392,1396,1367.5,1383,23/10/2023
12/7/2023,CU2312,1384.5,1357.5,1386,1355.5,1077,23/10/2023
11/7/2023,CU2312,1354.5,1324,1367,1321,857,23/10/2023
10/7/2023,CU2312,1320.5,1309,1330.5,1309,915,23/10/2023
7/7/2023,CU2312,1310.5,1331.5,1343,1310.5,555,23/10/2023
6/7/2023,CU2312,1329.5,1313.5,1329.5,1312,387,23/10/2023
5/7/2023,CU2312,1309.5,1320.5,1320.5,1302.5,252,23/10/2023
4/7/2023,CU2312,1312,1329.5,1347.5,1311,582,23/10/2023
3/7/2023,CU2312,1334,1386.5,1404.5,1334,178,23/10/2023
29/6/2023,CU2312,1354.5,1337.5,1373,1337.5,10,23/10/2023
21/6/2023,CU2312,1389.5,1371.5,1391.5,1371.5,10,23/10/2023
20/6/2023,CU2312,1385,1389,1389,1385,2,23/10/2023
19/6/2023,CU2312,1395,1394,1400,1385,4,23/10/2023
16/6/2023,CU2312,1409.5,1410,1417.5,1403,6,23/10/2023
15/6/2023,CU2312,1410.5,1369.5,1410.5,1369.5,7,23/10/2023
14/6/2023,CU2312,1352.5,1352.5,1352.5,1352.5,2,23/10/2023
13/6/2023,CU2312,1342.5,1342.5,1342.5,1342.5,1,23/10/2023
9/6/2023,CU2312,1314,1317.5,1317.5,1314,2,23/10/2023
7/6/2023,CU2312,1342,1342,1342,1342,1,23/10/2023
5/6/2023,CU2312,1317,1300.5,1317,1300.5,3,23/10/2023
2/6/2023,CU2312,1329.5,1282.5,1329.5,1272.5,9,23/10/2023
1/6/2023,CU2312,1299,1300.5,1303,1299,4,23/10/2023
31/5/2023,CU2312,1266,1267,1288,1252,6,23/10/2023
30/5/2023,CU2312,1287,1287.5,1287.5,1287,2,23/10/2023
29/5/2023,CU2312,1280,1284.5,1301.5,1280,8,23/10/2023
26/5/2023,CU2312,1279,1290,1290,1255,5,23/10/2023
25/5/2023,CU2312,1306,1330,1330,1297,8,23/10/2023
24/5/2023,CU2312,1301,1343,1343,1301,2,23/10/2023
23/5/2023,CU2312,1330,1330,1330,1330,1,23/10/2023
22/5/2023,CU2312,1323,1350,1350,1323,2,23/10/2023
19/5/2023,CU2312,1380.5,1380.5,1380.5,1380.5,1,23/10/2023
